go_id	go_term	go_domain	size	genes
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	4	1207896|1208040|1208205|1208380
GO:0000104	succinate dehydrogenase activity	molecular_function	1	1209309
GO:0000105	histidine biosynthetic process	biological_process	1	1208562
GO:0000154	rRNA modification	biological_process	7	1208648|1208881|1209033|1209259|1209427|1209828|1209895
GO:0000155	phosphorelay sensor kinase activity	molecular_function	6	1208519|1208681|1208985|1209133|1209672|1209918
GO:0000156	phosphorelay response regulator activity	molecular_function	11	1208519|1208602|1208651|1208672|1208681|1208850|1208943|1208985|1209132|1209672|1209919
GO:0000160	phosphorelay signal transduction system	biological_process	13	1208519|1208602|1208651|1208672|1208681|1208850|1208943|1208985|1209132|1209133|1209672|1209918|1209919
GO:0000162	tryptophan biosynthetic process	biological_process	4	1209054|1209056|1209057|1209058
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	1	1209895
GO:0000270	peptidoglycan metabolic process	biological_process	2	1208071|1208261
GO:0000271	polysaccharide biosynthetic process	biological_process	7	1208463|1208565|1208579|1208583|1208738|1208958|1209568
GO:0000286	alanine dehydrogenase activity	molecular_function	1	1209018
GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function	1	1209198
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	1	1208533
GO:0000910	cytokinesis	biological_process	12	1207988|1208003|1208009|1208011|1208012|1208425|1208801|1209095|1209258|1209817|1209818|1209840
GO:0001906	cell killing	biological_process	1	1209401
