go_id	go_term	go_domain	size	genes
GO:0000002	mitochondrial genome maintenance	biological_process	3	mgm101|mrpl17|pif1
GO:0000009	alpha-1,6-mannosyltransferase activity	molecular_function	1	alg12
GO:0000010	trans-hexaprenyltranstransferase activity	molecular_function	1	coq1
GO:0000012	single strand break repair	biological_process	4	adprt1B|adprt2|lig4|xrcc1
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	3	DDB_G0291466|ercc1|rad50
GO:0000015	phosphopyruvate hydratase complex	cellular_component	2	enoA|enoB
GO:0000019	regulation of mitotic recombination	biological_process	1	rad50
GO:0000026	alpha-1,2-mannosyltransferase activity	molecular_function	1	alg11
GO:0000027	ribosomal large subunit assembly	biological_process	4	DDB_G0279205|bxdc1|bxdc2|bxdc5
GO:0000028	ribosomal small subunit assembly	biological_process	6	DDB_G0269830|pwp2|rps15|rps17|rps19|rpsA
GO:0000030	mannosyltransferase activity	molecular_function	3	alg1|alg9|pigB
GO:0000033	alpha-1,3-mannosyltransferase activity	molecular_function	1	alg3
GO:0000034	adenine deaminase activity	molecular_function	1	ada
GO:0000042	protein targeting to Golgi	biological_process	2	DDB_G0269368|DDB_G0289185
GO:0000045	autophagic vacuole assembly	biological_process	22	DDB_G0277419|DDB_G0280813|DDB_G0283753|DDB_G0290491|DDB_G0292682|DDB_G0293498|atg1|atg10|atg12|atg18|atg3|atg4-1|atg4-2|atg5|atg6B|atg8|atg9|glcS|pikE|tipD|ugpB|wdr45l
GO:0000049	tRNA binding	molecular_function	20	DDB_G0278955|DDB_G0291926|DDB_G0293956|alaS|ctu1|ctu2|cysS|drpp30|elp1|malaS|metS|mettl1|mgluS|mpheS|rpl35a|sepsecs|trmt11|trmu|xpo5|xpot
GO:0000050	urea cycle	biological_process	1	pyr1-3
GO:0000054	ribosomal subunit export from nucleus	biological_process	3	DDB_G0294292|ranA|ranB
GO:0000055	ribosomal large subunit export from nucleus	biological_process	3	nmd3|nvl|sdad1
GO:0000062	fatty-acyl-CoA binding	molecular_function	2	acbA|acbd6
GO:0000070	mitotic sister chromatid segregation	biological_process	4	kif10|kif2|smc4|sun1
GO:0000075	cell cycle checkpoint	biological_process	1	rad9
GO:0000076	DNA replication checkpoint	biological_process	4	hus1|rad1|rad17|rad9
GO:0000077	DNA damage checkpoint	biological_process	8	DDB_G0291466|fhkC|fhkD|fhkE|hus1|rad1|rad17|rad9
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	15	DDB_G0277391|DDB_G0277481|DDB_G0277667|DDB_G0280425|DDB_G0285059|DDB_G0286347|DDB_G0286485|DDB_G0287745|DDB_G0289007|DDB_G0295785|cycC|cycH|cycK|cycL|mnat1
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	2	cdk8|culA
GO:0000103	sulfate assimilation	biological_process	7	DDB_G0284939|DDB_G0284941|DDB_G0288153|DDB_G0288595|DDB_G0291029|trxD|trxE
GO:0000104	succinate dehydrogenase activity	molecular_function	2	sdhC|sdhD
GO:0000110	nucleotide-excision repair factor 1 complex	cellular_component	1	ercc1
GO:0000112	nucleotide-excision repair factor 3 complex	cellular_component	1	gtf2h1
GO:0000118	histone deacetylase complex	cellular_component	2	DDB_G0280261|DDB_G0281045
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological_process	11	DDB_G0281045|DDB_G0283793|DDB_G0284289|DDB_G0285389|DDB_G0288089|DDB_G0293590|med7|mybA|rblA|rmp|spt5
GO:0000123	histone acetyltransferase complex	cellular_component	3	DDB_G0275159|elp3|gcn5
GO:0000124	SAGA complex	cellular_component	9	DDB_G0271798|DDB_G0280065|DDB_G0289573|DDB_G0291308|gcn5|taf12|taf5|taf6|taf9
GO:0000126	transcription factor TFIIIB complex	cellular_component	3	bdp1|brf1|tbpA
GO:0000132	establishment of mitotic spindle orientation	biological_process	3	lis1|ndc80|nudE
GO:0000139	Golgi membrane	cellular_component	55	DDB_G0269368|DDB_G0275331|DDB_G0277007|DDB_G0278979|DDB_G0281903|DDB_G0282653|DDB_G0283831|DDB_G0287763|atg9|cog1|cog2|cog3|cog4|cog5|cog6|cog7|comA|copA|copB|copB2|copE|copG|gol|golt1|grlJ|mmgt|plip|psenA|psenB|rab1A|rab1B|rab1D|rab1E|rab2A|rab2B|rabA|rabF1-1|rabF1-2|rabG1|rabG2|rabO|rabQ|rabU|rabW|rsmN|sarA|sarB|sec23|sec24|syn5|tmem167|vps45|wimA|yipf5|ykt6
GO:0000145	exocyst	cellular_component	7	exoc1|exoc2|exoc3|exoc4|exoc6|exoc7|exoc8
GO:0000146	microfilament motor activity	molecular_function	5	mhcA|myoB|myoE|myoJ|myoM
GO:0000149	SNARE binding	molecular_function	25	DDB_G0268452|DDB_G0269942|DDB_G0275765|DDB_G0276515|DDB_G0279731|DDB_G0283011|DDB_G0283825|DDB_G0285365|DDB_G0293712|clmA|exoc3|sybA|sybB|syn16A|syn16B|syn1A|syn1B|syn5|syn7A|syn7B|vamp7A|vamp7B|vti1A|vti1B|ykt6
GO:0000151	ubiquitin ligase complex	cellular_component	10	DDB_G0270200|DDB_G0283475|DDB_G0287799|DDB_G0287859|DDB_G0288093|DDB_G0288473|DDB_G0292128|cand1|nosA|sugt1
GO:0000153	cytoplasmic ubiquitin ligase complex	cellular_component	2	atg10|atg3
GO:0000154	rRNA modification	biological_process	3	dimt1l|nol5a|nola2
GO:0000155	phosphorelay sensor kinase activity	molecular_function	17	DDB_G0280193|H3b|H3c|dhkA|dhkB|dhkC|dhkD|dhkE|dhkF|dhkG|dhkH|dhkI-1|dhkI-2|dhkJ|dhkK|dhkL|dokA
GO:0000156	phosphorelay response regulator activity	molecular_function	5	dhkB|dhkC|dhkF|dhkJ|dokA
GO:0000159	protein phosphatase type 2A complex	cellular_component	5	DDB_G0279655|DDB_G0293386|ppp2r4|pppA|psrA
GO:0000160	phosphorelay signal transduction system	biological_process	25	DDB_G0268012|DDB_G0270056|DDB_G0280193|DDB_G0287725|DDB_G0291424|H3b|H3c|acrA|dhkA|dhkB|dhkC|dhkD|dhkE|dhkF|dhkG|dhkH|dhkI-1|dhkI-2|dhkJ|dhkK|dhkL|dhkM|dokA|rdeA|regA
GO:0000164	protein phosphatase type 1 complex	cellular_component	1	DDB_G0270118
GO:0000165	MAPK cascade	biological_process	14	DDB_G0280559|DDB_G0282777|dst3|dst4|erkA|erkB|krsA|krsB|mekA|pakE|pakF|pakG|pakH-1|pakH-2
