go_id	go_term	go_domain	size	genes
GO:0000023	maltose metabolic process	biological_process	1	sfsA
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	2	acpP-1|acpP-2
GO:0000104	succinate dehydrogenase activity	molecular_function	2	frdA|frdB
GO:0000105	histidine biosynthetic process	biological_process	12	folD-1|folD-2|hisA|hisB|hisC|hisD|hisE|hisF|hisGL|hisGS|hisH|hisI
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	2	hisF|hisH
GO:0000154	rRNA modification	biological_process	7	GSU0671|GSU1197|rlmB|rluD|rsmA|rsmB|trmJ
GO:0000155	phosphorelay sensor kinase activity	molecular_function	89	GSU0007|GSU0008|GSU0103|GSU0144|GSU0149|GSU0253|GSU0255|GSU0281|GSU0283|GSU0356|GSU0373|GSU0452|GSU0475|GSU0599|GSU0681|GSU0693|GSU0700|GSU0718|GSU0775|GSU0812|GSU0822|GSU0842|GSU0881|GSU0962|GSU1036|GSU1037|GSU1038|GSU1043|GSU1050|GSU1119|GSU1148|GSU1249|GSU1265|GSU1285|GSU1292|GSU1296|GSU1302|GSU1319|GSU1414|GSU1443|GSU1529|GSU1555|GSU1630|GSU1655|GSU1656|GSU1878|GSU1927|GSU1928|GSU1941|GSU1990|GSU2042|GSU2189|GSU2288|GSU2297|GSU2314|GSU2384|GSU2388|GSU2401|GSU2444|GSU2492|GSU2507|GSU2531|GSU2534|GSU2565|GSU2567|GSU2575|GSU2667|GSU2669|GSU2755|GSU2789|GSU2815|GSU2816|GSU2916|GSU2947|GSU2969|GSU2991|GSU3138|GSU3148|GSU3230|GSU3252|GSU3357|GSU3419|GSU3437|fgrK|fgrL|gnfK|gnfL|phoR|pilS
GO:0000156	phosphorelay response regulator activity	molecular_function	93	GSU0008|GSU0104|GSU0149|GSU0254|GSU0372|GSU0405|GSU0451|GSU0470|GSU0596|GSU0598|GSU0599|GSU0682|GSU0700|GSU0718|GSU0776|GSU0789|GSU0811|GSU0837|GSU0841|GSU0842|GSU0877|GSU0902|GSU0903|GSU0963|GSU1037|GSU1038|GSU1039|GSU1117|GSU1119|GSU1120|GSU1129|GSU1220|GSU1231|GSU1250|GSU1265|GSU1285|GSU1291|GSU1293|GSU1296|GSU1302|GSU1316|GSU1320|GSU1414|GSU1415|GSU1417|GSU1443|GSU1529|GSU1555|GSU1653|GSU1655|GSU1656|GSU1658|GSU1671|GSU1879|GSU1891|GSU1927|GSU1928|GSU1940|GSU1989|GSU2041|GSU2046|GSU2094|GSU2145|GSU2224|GSU2287|GSU2313|GSU2314|GSU2401|GSU2506|GSU2524|GSU2534|GSU2535|GSU2574|GSU2575|GSU2693|GSU2753|GSU2816|GSU2915|GSU3118|GSU3138|GSU3217|GSU3229|GSU3253|GSU3261|GSU3263|GSU3418|cheY40H-2|cheY40H-3|fgrL|gnfM|gnfR|phoB|pilR
GO:0000160	phosphorelay signal transduction system	biological_process	146	GSU0007|GSU0008|GSU0103|GSU0104|GSU0144|GSU0149|GSU0254|GSU0281|GSU0283|GSU0356|GSU0372|GSU0373|GSU0405|GSU0451|GSU0452|GSU0470|GSU0475|GSU0596|GSU0598|GSU0599|GSU0682|GSU0693|GSU0700|GSU0718|GSU0775|GSU0776|GSU0789|GSU0811|GSU0812|GSU0822|GSU0837|GSU0841|GSU0842|GSU0877|GSU0881|GSU0902|GSU0903|GSU0962|GSU0963|GSU1036|GSU1037|GSU1038|GSU1039|GSU1043|GSU1050|GSU1117|GSU1119|GSU1120|GSU1129|GSU1148|GSU1220|GSU1231|GSU1250|GSU1265|GSU1285|GSU1291|GSU1293|GSU1296|GSU1302|GSU1316|GSU1319|GSU1320|GSU1414|GSU1415|GSU1417|GSU1443|GSU1529|GSU1555|GSU1630|GSU1653|GSU1655|GSU1656|GSU1658|GSU1671|GSU1878|GSU1879|GSU1891|GSU1927|GSU1928|GSU1940|GSU1941|GSU1989|GSU1990|GSU2041|GSU2042|GSU2046|GSU2094|GSU2145|GSU2189|GSU2224|GSU2287|GSU2288|GSU2297|GSU2313|GSU2314|GSU2384|GSU2401|GSU2444|GSU2492|GSU2506|GSU2507|GSU2524|GSU2531|GSU2534|GSU2535|GSU2565|GSU2567|GSU2574|GSU2575|GSU2667|GSU2669|GSU2693|GSU2753|GSU2789|GSU2815|GSU2816|GSU2915|GSU2916|GSU2947|GSU2969|GSU2991|GSU3118|GSU3138|GSU3148|GSU3217|GSU3229|GSU3252|GSU3253|GSU3261|GSU3263|GSU3418|GSU3419|GSU3437|cheY40H-2|cheY40H-3|czcR|fgrK|fgrL|gnfK|gnfL|gnfM|gnfR|phoB|phoR|pilR|pilS
GO:0000162	tryptophan biosynthetic process	biological_process	6	trpA|trpB2|trpC|trpD|trpE|trpG
